id,name,age,is_cool,gender,occupation
1,Max,42,false,männlich,Entwickler
2,Sophie,37,true,weiblich,Manager
3,Lukas,29,true,männlich,Designer
4,Emma,34,true,weiblich,Marketer
5,Paul,51,false,männlich,Vertriebler
6,Lena,26,true,weiblich,Produktmanagerin
7,Finn,45,true,männlich,Ingenieur
8,Mia,38,true,weiblich,Beraterin
9,Noah,31,false,männlich,Analyst
10,Lea,27,true,weiblich,Support-Spezialistin
11,Kevin,33,true,männlich,Architekt
12,Julia,30,false,weiblich,Buchhalterin
13,Tim,40,true,männlich,IT-Spezialist
14,Laura,35,true,weiblich,Projektmanagerin
15,Erik,42,false,männlich,Berater
16,Anna,29,true,weiblich,Grafikdesignerin
17,Markus,47,false,männlich,Verkäufer
18,Sabrina,32,true,weiblich,Eventmanagerin
19,David,38,true,männlich,Marketing-Analyst
20,Nina,41,false,weiblich,Journalistin
21,Felix,27,true,männlich,Webentwickler
22,Paula,34,true,weiblich,PR-Spezialistin
23,Leon,44,false,männlich,Finanzanalyst
24,Clara,31,true,weiblich,Sozialarbeiterin
25,Julian,36,false,männlich,Systemadministrator
26,Elena,33,true,weiblich,Personalmanagerin
27,Ben,39,true,männlich,Datenwissenschaftler
28,Sara,26,true,weiblich,Vertriebsleiterin
29,Oskar,50,false,männlich,Betriebswirt
30,Emily,24,true,weiblich,UX-Designer
